,bardguilt,mltnguilt,question,rating,scenario,start,stop,subjguilt,uid
138,true,true,30,84,7.0,2020-12-08 01:33:44,2020-12-08 01:34:07,true,A3VZ5K4RRT6NN8
139,true,,0,81,8.0,2020-12-08 01:37:33,2020-12-08 01:37:46,,A2XP1TT59KNAHG
140,false,,1,81,20.0,2020-12-08 01:37:33,2020-12-08 01:38:07,,A2XP1TT59KNAHG
141,true,,2,80,16.0,2020-12-08 01:38:33,2020-12-08 01:38:55,,A2XP1TT59KNAHG
142,true,,3,78,30.0,2020-12-08 01:38:33,2020-12-08 01:39:12,,A2XP1TT59KNAHG
143,true,,4,84,11.0,2020-12-08 01:38:33,2020-12-08 01:39:30,,A2XP1TT59KNAHG
144,true,,5,82,22.0,2020-12-08 01:38:33,2020-12-08 01:39:44,,A2XP1TT59KNAHG
145,true,,6,76,28.0,2020-12-08 01:38:33,2020-12-08 01:39:54,,A2XP1TT59KNAHG
146,true,,7,90,3.0,2020-12-08 01:40:07,2020-12-08 01:40:16,,A2XP1TT59KNAHG
147,false,,8,82,26.0,2020-12-08 01:40:07,2020-12-08 01:40:25,,A2XP1TT59KNAHG
148,true,,9,83,13.0,2020-12-08 01:40:07,2020-12-08 01:40:34,,A2XP1TT59KNAHG
149,false,,10,75,15.0,2020-12-08 01:40:07,2020-12-08 01:40:43,,A2XP1TT59KNAHG
150,true,,11,86,23.0,2020-12-08 01:40:59,2020-12-08 01:41:12,,A2XP1TT59KNAHG
151,false,,12,82,4.0,2020-12-08 01:40:59,2020-12-08 01:41:20,,A2XP1TT59KNAHG
152,true,,13,59,10.0,2020-12-08 01:40:59,2020-12-08 01:41:30,,A2XP1TT59KNAHG
153,true,,14,47,12.0,2020-12-08 01:40:59,2020-12-08 01:41:42,,A2XP1TT59KNAHG
154,true,,15,51,29.0,2020-12-08 01:40:59,2020-12-08 01:41:51,,A2XP1TT59KNAHG
155,false,,16,94,1.0,2020-12-08 01:40:59,2020-12-08 01:42:01,,A2XP1TT59KNAHG
156,true,true,0,69,28.0,2020-12-08 03:07:49,2020-12-08 03:08:31,true,A19IYNU02HE2Z2
157,true,true,1,61,5.0,2020-12-08 03:07:49,2020-12-08 03:09:14,true,A19IYNU02HE2Z2
158,false,true,2,84,24.0,2020-12-08 03:10:59,2020-12-08 03:12:11,true,A19IYNU02HE2Z2
159,true,true,3,87,27.0,2020-12-08 03:10:59,2020-12-08 03:13:14,false,A19IYNU02HE2Z2
160,false,false,4,90,21.0,2020-12-08 03:10:59,2020-12-08 03:13:46,false,A19IYNU02HE2Z2
161,true,true,5,81,11.0,2020-12-08 03:10:59,2020-12-08 03:14:20,true,A19IYNU02HE2Z2
162,true,false,6,86,8.0,2020-12-08 03:10:59,2020-12-08 03:14:56,true,A19IYNU02HE2Z2
163,true,true,7,76,16.0,2020-12-08 03:15:56,2020-12-08 03:16:34,true,A19IYNU02HE2Z2
164,false,false,8,74,4.0,2020-12-08 03:15:56,2020-12-08 03:16:55,true,A19IYNU02HE2Z2
165,true,true,9,76,25.0,2020-12-08 03:15:56,2020-12-08 03:17:21,true,A19IYNU02HE2Z2
166,true,false,10,78,7.0,2020-12-08 03:15:56,2020-12-08 03:17:48,true,A19IYNU02HE2Z2
167,true,,0,92,1.0,2020-12-08 03:38:27,2020-12-08 03:41:21,,A26M997VYVK0E6
